year,subject,raw_relation,object,sentence,normalized_relation,cluster_id,ontology_relation
0,Cosme Pérez,nació en,Tudela de Duero (Valladolid),"Aunque Cotarelo aventuró que pudo haber nacido en Madrid, hoy sabemos que Cosme Pérez nació en Tudela de Duero (Valladolid), en cuya iglesia parroquial Cosme Pérez fue bautizado el 7 de abril de 1593.",nacer en,1,nacer en
0,Cosme Pérez,hijo de,Damián Pérez,"Cosme Pérez fue hijo de Damián Pérez e Isabel de Basto, su segunda esposa, y fue el cuarto de una familia de cuatro hermanos.",ser hijo de,1,nacer en
0,Cosme Pérez,hijo de,Isabel de Basto,"Cosme Pérez fue hijo de Damián Pérez e Isabel de Basto, su segunda esposa, y fue el cuarto de una familia de cuatro hermanos.",ser hijo de,1,nacer en
0,cuando Juan Rana,participó,la representación de la comedia de Lope de Vega Lo que ha de ser,"Según F. Sáez Raposo, la primera aparición escénica del personaje ""Juan Rana"" habría tenido lugar hacia 1624, cuando Juan Rana participó en la representación de la comedia de Lope de Vega Lo que ha de ser.",participar,2,representar
0,el entremés se,representó,el Retiro durante la fiesta de San Juan de ese año,"Por su parte, según M. L. Lobato, el entremés se representó en el Retiro durante la fiesta de San Juan de ese año.",representar,2,representar
0,"se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se",representó,"un día de mucho frío, según se indica en el primer verso del entremés","Según apunta M. L. Lobato, Antonio de Solís contó también con el actor Juan Rana para el entremés titulado La Zarzuela, el cual, según el manuscrito que se conserva de la obra, se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se representó a Su Majestad"" en un día de mucho frío, según se indica en el primer verso del entremés.",representar,2,representar
0,La pieza se,representó,palacio y M,"La pieza se representó en palacio y M. L. Lobato deduce, a partir del hecho de que en las alabanzas finales se omite cualquier referencia al príncipe Felipe Próspero, que el entremés El ayo de Agustín Moreto fue anterior a su nacimiento, que tuvo lugar en noviembre de 1657.",representar,2,representar
0,Juan Rana también,actuó,"el entremés El ayo de Agustín Moreto, representado con motivo del cumpleaños del rey Felipe IV, quizá, como propone la citada investigadora, en el año 1662, en el que actuaron también Mateo de Godoy y Jerónimo Morales","Según indica M. L. Lobato, Juan Rana también actuó en el entremés El ayo de Agustín Moreto, representado con motivo del cumpleaños del rey Felipe IV, quizá, como propone la citada investigadora, en el año 1662, en el que actuaron también Mateo de Godoy y Jerónimo Morales.",actuar,2,representar
0,esta loa se,representó,"muerte de Bernarda Ramírez, mujer de Sebastián de Prado, se había producido el 24 de octubre de 1662 y se sabe por un testimonio del 17 de diciembre de 1662 que Sebastián de Prado estaba encarcelado y por ello no podría participar en la fiesta palaciega que había de tener lugar cinco días después","Según Cotarelo, esta loa se representó ante los Reyes el 22 de diciembre de 1662, dado que la muerte de Bernarda Ramírez, mujer de Sebastián de Prado, se había producido el 24 de octubre de 1662 y se sabe por un testimonio del 17 de diciembre de 1662 que Sebastián de Prado estaba encarcelado y por ello no podría participar en la fiesta palaciega que había de tener lugar cinco días después.",representar,2,representar
0,sugiere que el entremés se,representó,"los últimos versos se hace mención del objeto de la fiesta, que era festejar el nombre de Ana","M. L. Lobato, sin embargo, sugiere que el entremés se representó ""un 26 de julio"", festividad de Santa Ana, pues en los últimos versos se hace mención del objeto de la fiesta, que era festejar el nombre de Ana.",representar,2,representar
1636,en el que el actor Cosme Pérez,representó,"graciosidad"" en la compañía de Pedro de la Rosa","Consta un concierto, fechado en Madrid el 16 de febrero, en el que el actor Cosme Pérez representó ""la parte principal de la graciosidad"" en la compañía de Pedro de la Rosa.",representar,2,representar
1639,Que la compañía de Pedro de la Rosa,representó,el Corpus de Sevilla,Que la compañía de Pedro de la Rosa representó en el Corpus de Sevilla.,representar,2,representar
1643,la compañía de Pedro de la Rosa,representó,"Madrid los autos del Corpus [4 de junio] y en la lista de actores presentada a las autoridades figuraba Cosme Pérez, aunque al principio Cosme Pérez parece que no quería representar, según se infiere de la anotación hecha por Pedro de la Rosa al entregar la lista de su compañía: ""Está indeciso, porque Cosme Pérez no quiere representar"" —pero se trata de un error de Cotarelo, pues, como se verá a continuación, esta noticia correspondería realmente a 1644—","En nombre de su marido, Catalina se comprometía asimismo a pagar 456 rs. del viaje de Murcia, de hato y personas, y las raciones de Cuaresma; según Cotarelo, la compañía de Pedro de la Rosa representó en Madrid los autos del Corpus [4 de junio] y en la lista de actores presentada a las autoridades figuraba Cosme Pérez, aunque al principio Cosme Pérez parece que no quería representar, según se infiere de la anotación hecha por Pedro de la Rosa al entregar la lista de su compañía: ""Está indeciso, porque Cosme Pérez no quiere representar"" —pero se trata de un error de Cotarelo, pues, como se verá a continuación, esta noticia correspondería realmente a 1644—.",representar,2,representar
1651,Se,representó,"palacio la comedia de Calderón Darlo todo y no dar nada, con una loa de Antonio de Solís,","Se representó en palacio la comedia de Calderón Darlo todo y no dar nada, con una loa de Antonio de Solís,",representar,2,representar
1651,se,representó,"entremés El infierno de Juan Rana, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación—","y, durante esta misma fiesta, se representó el entremés El infierno de Juan Rana, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación—.",representar,2,representar
1653,en la que Cosme Pérez,representó,"papel de ""Bato""—","—la comedia representada fue Andrómeda y Perseo, de Calderón, en la que Cosme Pérez representó el papel de ""Bato""—;",representar,2,representar
1655,Durante esta misma fiesta se,representó,"entremés Las visiones, en el que intervinieron 'Juan Rana' en el papel de ""Juan Rana"" y Bernarda Ramírez representando el papel de ""Quiteria, mujer de Juan Rana""","Durante esta misma fiesta se representó el entremés Las visiones, en el que intervinieron 'Juan Rana' en el papel de ""Juan Rana"" y Bernarda Ramírez representando el papel de ""Quiteria, mujer de Juan Rana"".",representar,2,representar
1655,El martes de Carnaval de este año [9 de febrero] —aunque Lobato por error indica como fecha del representación el año 1656— se,representó,"comedia Un bobo hace ciento, de Solís, en cuya loa alegórica Juan Rana hizo de ""Tiempo"", compartiendo escenario con Bernarda Ramírez, Luisa Romero y Mariana Romero, 'la Patata' [¿Antonia del Pozo 'la Patata' o Luciana 'la Patata'?], Mariana de Borja 'la Borja' y 'Poca Ropa'","El martes de Carnaval de este año [9 de febrero] —aunque Lobato por error indica como fecha del representación el año 1656— se representó ante Sus Majestades la comedia Un bobo hace ciento, de Solís, en cuya loa alegórica Juan Rana hizo de ""Tiempo"", compartiendo escenario con Bernarda Ramírez, Luisa Romero y Mariana Romero, 'la Patata' [¿Antonia del Pozo 'la Patata' o Luciana 'la Patata'?], Mariana de Borja 'la Borja' y 'Poca Ropa'.",representar,2,representar
1655,se,representó,"el Retiro el día de San Juan —probablemente el 23 de junio, noche de San Juan— la obra La restauración de España —también titulada La renegada de Valladolid, según Lobato—","Según un testimonio recogido contemporáneamente por Jerónimo de Barrionuevo el 26 de junio, se representó en el Retiro el día de San Juan —probablemente el 23 de junio, noche de San Juan— la obra La restauración de España —también titulada La renegada de Valladolid, según Lobato—.",representar,2,representar
1655,"en la que se indica ""La comedia",represento,"el Salón del Buen Retiro el día de San Juan, año de 1655""","Según Paz y Melia, en la Biblioteca Nacional de Madrid se conserva el manuscrito de La renegada de Valladolid, comedia burlesca, escrita por tres ingenios (Francisco de Monteser, Antonio de Solís y Diego de Silva), en la que se indica ""La comedia Representose a Su Majestad en el Salón del Buen Retiro el día de San Juan, año de 1655"".",representar,2,representar
1656,En la fiesta se,representó,comedia Pico y Canente de Luis de Ulloa y Pereira y Rodrigo de Ávila,En la fiesta se representó la comedia Pico y Canente de Luis de Ulloa y Pereira y Rodrigo de Ávila. La comedia Pico y Canente fue muy bien.,representar,2,representar
1656,en la misma carta el escenógrafo italiano da cuenta de que la fiesta se,representó,"el Coliseo, donde la fiesta se repitió durante cuatro días, con gran asistencia de público, especialmente para la función que tuvo lugar el lunes de Carnaval","Por otro lado, en la misma carta el escenógrafo italiano da cuenta de que la fiesta se representó después en el Coliseo, donde la fiesta se repitió durante cuatro días, con gran asistencia de público, especialmente para la función que tuvo lugar el lunes de Carnaval.",representar,2,representar
1657,que se,representó,el Real Sitio de la Zarzuela por las compañías de Diego Osorio y Pedro de la Rosa,"El 17 de enero de este año Cosme Pérez, conocido como 'Juan Rana', intervino en la comedia El golfo de las sirenas, de Calderón, y en la mojiganga Juan Rana en la Zarzuela, intrínsecamente vinculada a esta obra, que se representó ante Sus Majestades en el Real Sitio de la Zarzuela por las compañías de Diego Osorio y Pedro de la Rosa.",representar,2,representar
1658,Junto a la comedia de Antonio de Solís Triunfos de Amor y Fortuna se,representó,"entremés del mismo Solís titulado Salta en banco, en el que intervino Cosme Pérez junto a Bernarda Ramírez, Bernarda Manuela, Luisa y Mariana Romero, Francisca Bezón 'la Bezona', María de Prado y María de Quiñones,","Junto a la comedia de Antonio de Solís Triunfos de Amor y Fortuna se representó el entremés del mismo Solís titulado Salta en banco, en el que intervino Cosme Pérez junto a Bernarda Ramírez, Bernarda Manuela, Luisa y Mariana Romero, Francisca Bezón 'la Bezona', María de Prado y María de Quiñones,",representar,2,representar
1658,y también se,representó,"entremés titulado El niño caballero, del mismo Solís, en el que actuó Juan Rana junto a Bernarda Ramírez, Francisca Bezona, Mariana de Borja 'la Borja', Simón Aguado, Mateo Godoy, Pedro de la Rosa y Tomás de Nájera","y también se representó el entremés titulado El niño caballero, del mismo Solís, en el que actuó Juan Rana junto a Bernarda Ramírez, Francisca Bezona, Mariana de Borja 'la Borja', Simón Aguado, Mateo Godoy, Pedro de la Rosa y Tomás de Nájera.",representar,2,representar
1658,También se,representó,"sainete Aguardad, supremos dioses del mismo Solís, en el que intervino Juan Rana junto a Bernarda Ramírez, Simón Aguado, Bernarda Manuela, Mariana Borja, Pedro de la Rosa, Mateo Godoy, Diego Osorio y Jerónimo de Heredia","También se representó como final de fiesta el sainete Aguardad, supremos dioses del mismo Solís, en el que intervino Juan Rana junto a Bernarda Ramírez, Simón Aguado, Bernarda Manuela, Mariana Borja, Pedro de la Rosa, Mateo Godoy, Diego Osorio y Jerónimo de Heredia;",representar,2,representar
1658,A finales de noviembre de este año se,representó,"palacio el baile de Los Juan Ranas para celebrar el primer cumpleaños del príncipe Felipe Próspero, que había nacido el 28 de noviembre de 1657","A finales de noviembre de este año se representó en palacio el baile de Los Juan Ranas para celebrar el primer cumpleaños del príncipe Felipe Próspero, que había nacido el 28 de noviembre de 1657.",representar,2,representar
1661,se,representó,"familia real con motivo del nacimiento del príncipe Carlos, el futuro Carlos II","Según refiere Lobato, el entremés El toreador, de Calderón, se representó ante la familia real con motivo del nacimiento del príncipe Carlos, el futuro Carlos II. Durante la representación de la obra, en la que participó 'Juan Rana', Juan Rana bajó del tablado para dirigirse al Rey, a la Reina y al ""Principito"". Haciéndoles cortesías, y regresando después a ocupar su lugar en el tablado.",representar,2,representar
1661,en la que,participó,"Reina y al ""Principito""","Según refiere Lobato, el entremés El toreador, de Calderón, se representó ante la familia real con motivo del nacimiento del príncipe Carlos, el futuro Carlos II. Durante la representación de la obra, en la que participó 'Juan Rana', Juan Rana bajó del tablado para dirigirse al Rey, a la Reina y al ""Principito"". Haciéndoles cortesías, y regresando después a ocupar su lugar en el tablado.",participar,2,representar
1661,en la que,participó,"Reina y al ""Principito""","Durante la representación de la obra, en la que participó 'Juan Rana', Juan Rana bajó del tablado para dirigirse al Rey, a la Reina y al ""Principito"".",participar,2,representar
1662,Juan Rana',actuó,"el entremés El ayo de Moreto, representado con motivo del cumpleaños del rey Felipe IV, quizá este año, como propone la citada investigadora, y en el que actuaron también Mateo de Godoy y Jerónimo Morales","Según M. L. Lobato, 'Juan Rana' actuó en el entremés El ayo de Moreto, representado con motivo del cumpleaños del rey Felipe IV, quizá este año, como propone la citada investigadora, y en el que actuaron también Mateo de Godoy y Jerónimo Morales.",actuar,2,representar
1673,Cosme Pérez,murió en,Madrid,donde se anotaba que Cosme Pérez murió en Madrid.,morir en,1,nacer en
