verbo_lema,frecuencia,tipo,relacion_canonica,cluster
representar,58,nueva_relacion,representar,0
constar,32,nueva_verbalizacion,representar,0
figurar,28,nueva_verbalizacion,representar,0
actuar,19,nueva_verbalizacion,representar,0
recibir,16,nueva_verbalizacion,representar,0
intervenir,14,nueva_verbalizacion,representar,0
escribir,13,nueva_relacion,escribir,-1
recoger,12,nueva_relacion,recoger,-1
aparecer,11,nueva_verbalizacion,representar,0
vea él,11,nueva_verbalizacion,representar,0
participar,11,nueva_verbalizacion,representar,0
salir,11,nueva_verbalizacion,representar,0
indicar,10,nueva_verbalizacion,representar,0
referir,9,nueva_verbalizacion,representar,0
pagar,9,nueva_relacion,pagar,-1
corresponder,8,nueva_relacion,corresponder,-1
llevar,7,nueva_verbalizacion,representar,0
acudir,7,nueva_verbalizacion,representar,0
vivir,7,nueva_relacion,vivir,-1
suponer,7,nueva_verbalizacion,representar,0
incluir,6,nueva_verbalizacion,representar,0
ver,6,nueva_verbalizacion,representar,0
conservar,6,nueva_verbalizacion,representar,0
entregar,6,nueva_verbalizacion,representar,0
dejar,6,nueva_verbalizacion,representar,0
señalar,5,nueva_verbalizacion,representar,0
enviar,5,nueva_verbalizacion,representar,0
creer,5,nueva_relacion,creer,-1
reír,5,nueva_relacion,reír,-1
pedir,5,nueva_verbalizacion,representar,0
poner,5,nueva_verbalizacion,representar,0
morir,5,nueva_relacion,morir,-1
apuntar,5,nueva_verbalizacion,representar,0
observar,5,nueva_verbalizacion,representar,0
formar,5,nueva_verbalizacion,representar,0
deducir,4,nueva_verbalizacion,representar,0
gozar,4,nueva_verbalizacion,representar,0
aludir,4,nueva_verbalizacion,representar,0
afirmar,4,nueva_verbalizacion,representar,0
notificar,4,nueva_verbalizacion,representar,0
pasar,4,nueva_verbalizacion,representar,0
llamar,4,nueva_relacion,llamar,-1
cumplir,4,nueva_verbalizacion,representar,0
ordenar,4,nueva_verbalizacion,representar,0
llegar,4,nueva_verbalizacion,representar,0
encontrar,4,nueva_relacion,encontrar,-1
