verbo_lema,frecuencia,tipo,relacion_canonica
representar,58,pendiente,pendiente
constar,32,pendiente,pendiente
figurar,28,pendiente,pendiente
actuar,19,pendiente,pendiente
recibir,16,pendiente,pendiente
intervenir,14,pendiente,pendiente
escribir,13,pendiente,pendiente
recoger,12,pendiente,pendiente
aparecer,11,pendiente,pendiente
vea él,11,pendiente,pendiente
participar,11,pendiente,pendiente
salir,11,pendiente,pendiente
indicar,10,pendiente,pendiente
referir,9,pendiente,pendiente
pagar,9,pendiente,pendiente
corresponder,8,pendiente,pendiente
llevar,7,pendiente,pendiente
acudir,7,pendiente,pendiente
vivir,7,pendiente,pendiente
suponer,7,pendiente,pendiente
incluir,6,pendiente,pendiente
ver,6,pendiente,pendiente
conservar,6,pendiente,pendiente
entregar,6,pendiente,pendiente
dejar,6,pendiente,pendiente
señalar,5,pendiente,pendiente
enviar,5,pendiente,pendiente
creer,5,pendiente,pendiente
reír,5,pendiente,pendiente
pedir,5,pendiente,pendiente
poner,5,pendiente,pendiente
morir,5,pendiente,pendiente
apuntar,5,pendiente,pendiente
observar,5,pendiente,pendiente
formar,5,pendiente,pendiente
deducir,4,pendiente,pendiente
gozar,4,pendiente,pendiente
aludir,4,pendiente,pendiente
afirmar,4,pendiente,pendiente
notificar,4,pendiente,pendiente
pasar,4,pendiente,pendiente
llamar,4,pendiente,pendiente
cumplir,4,pendiente,pendiente
ordenar,4,pendiente,pendiente
llegar,4,pendiente,pendiente
encontrar,4,pendiente,pendiente
acusar,4,pendiente,pendiente
identificar,4,pendiente,pendiente
cantar,4,pendiente,pendiente
nacer,4,pendiente,pendiente
concertar,4,pendiente,pendiente
volver,4,pendiente,pendiente
pertenecer,4,pendiente,pendiente
relatar,4,pendiente,pendiente
dar,4,pendiente,pendiente
acabar,4,pendiente,pendiente
solicitar,4,pendiente,pendiente
deber,3,pendiente,pendiente
declarar,3,pendiente,pendiente
repetir,3,pendiente,pendiente
documentar,3,pendiente,pendiente
describir,3,pendiente,pendiente
firmar,3,pendiente,pendiente
mencionar,3,pendiente,pendiente
ocupar,3,pendiente,pendiente
imitar,3,pendiente,pendiente
asistir,3,pendiente,pendiente
celebrar,3,pendiente,pendiente
festejar,3,pendiente,pendiente
comprometer,3,pendiente,pendiente
proponer,3,pendiente,pendiente
inferir,3,pendiente,pendiente
trabajar,3,pendiente,pendiente
obtener,3,pendiente,pendiente
mandar,3,pendiente,pendiente
saber,3,pendiente,pendiente
servir,3,pendiente,pendiente
establecer,3,pendiente,pendiente
presentar,3,pendiente,pendiente
bautizar,2,pendiente,pendiente
destacar,2,pendiente,pendiente
anunciar,2,pendiente,pendiente
soler,2,pendiente,pendiente
hablar,2,pendiente,pendiente
enterrar,2,pendiente,pendiente
vender,2,pendiente,pendiente
publicar,2,pendiente,pendiente
estrenar,2,pendiente,pendiente
mirar,2,pendiente,pendiente
contar,2,pendiente,pendiente
aludir él,2,pendiente,pendiente
manejar,2,pendiente,pendiente
nefar,2,pendiente,pendiente
conceder,2,pendiente,pendiente
sacar,2,pendiente,pendiente
producir,2,pendiente,pendiente
contener,2,pendiente,pendiente
vengar,2,pendiente,pendiente
citar,2,pendiente,pendiente
sepultar,2,pendiente,pendiente
interpretar,2,pendiente,pendiente
consultar,2,pendiente,pendiente
sugerir,2,pendiente,pendiente
querer,2,pendiente,pendiente
cobrar,2,pendiente,pendiente
tomar,2,pendiente,pendiente
hallar,2,pendiente,pendiente
dar él,2,pendiente,pendiente
terminar,2,pendiente,pendiente
permitir,2,pendiente,pendiente
continuar,2,pendiente,pendiente
hacer él,2,pendiente,pendiente
perder,2,pendiente,pendiente
volver él,2,pendiente,pendiente
sentar,2,pendiente,pendiente
empezar,2,pendiente,pendiente
recordar,2,pendiente,pendiente
testimoniar,2,pendiente,pendiente
véar,2,pendiente,pendiente
compartir,2,pendiente,pendiente
haer,2,pendiente,pendiente
costar,2,pendiente,pendiente
conocer,2,pendiente,pendiente
vestir,2,pendiente,pendiente
aventurar,2,pendiente,pendiente
anotar,2,pendiente,pendiente
recibir él,2,pendiente,pendiente
acompañar,2,pendiente,pendiente
embargar,2,pendiente,pendiente
aplazar,1,pendiente,pendiente
venir,1,pendiente,pendiente
aconsejar,1,pendiente,pendiente
